patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780154_r3_p121,GSM7780154,160,3,7.0,8.0,29,0.98560923
GSM7780154_r3_p174,GSM7780154,160,3,9.0,3.0,29,0.98146653
GSM7780153_r3_p101,GSM7780153,160,3,6.0,17.0,29,0.9805131
GSM7780154_r3_p119,GSM7780154,160,3,7.0,6.0,29,0.980116
GSM7780154_r3_p95,GSM7780154,160,3,6.0,11.0,29,0.97907573
GSM7780154_r3_p148,GSM7780154,160,3,8.0,6.0,29,0.9788755
GSM7780153_r3_p127,GSM7780153,160,3,7.0,14.0,29,0.97855854
GSM7780153_r3_p102,GSM7780153,160,3,6.0,18.0,29,0.9777241
GSM7780153_r3_p126,GSM7780153,160,3,7.0,13.0,29,0.9777014
GSM7780153_r3_p96,GSM7780153,160,3,6.0,12.0,29,0.97743416
GSM7780154_r3_p123,GSM7780154,160,3,7.0,10.0,29,0.97720385
GSM7780153_r3_p67,GSM7780153,160,3,5.0,12.0,29,0.97718346
GSM7780153_r3_p98,GSM7780153,160,3,6.0,14.0,29,0.97645104
GSM7780153_r3_p76,GSM7780153,160,3,5.0,21.0,29,0.97637737
GSM7780153_r3_p125,GSM7780153,160,3,7.0,12.0,29,0.97570574
GSM7780153_r3_p70,GSM7780153,160,3,5.0,15.0,29,0.9752923
GSM7780153_r3_p66,GSM7780153,160,3,5.0,11.0,29,0.9751765
GSM7780153_r3_p155,GSM7780153,160,3,8.0,13.0,29,0.97500825
GSM7780153_r3_p72,GSM7780153,160,3,5.0,17.0,29,0.97499657
GSM7780154_r3_p145,GSM7780154,160,3,8.0,3.0,29,0.9747784
GSM7780154_r3_p118,GSM7780154,160,3,7.0,5.0,29,0.9746424
GSM7780153_r3_p74,GSM7780153,160,3,5.0,19.0,29,0.9740397
GSM7780154_r3_p146,GSM7780154,160,3,8.0,4.0,29,0.97397906
GSM7780153_r3_p68,GSM7780153,160,3,5.0,13.0,29,0.9739675
GSM7780153_r3_p237,GSM7780153,160,3,11.0,8.0,29,0.9734193
GSM7780153_r3_p154,GSM7780153,160,3,8.0,12.0,29,0.9730201
GSM7780153_r3_p124,GSM7780153,160,3,7.0,11.0,29,0.9728147
GSM7780154_r3_p149,GSM7780154,160,3,8.0,7.0,29,0.9727694
GSM7780153_r3_p153,GSM7780153,160,3,8.0,11.0,29,0.9721055
GSM7780153_r3_p152,GSM7780153,160,3,8.0,10.0,29,0.9711415
GSM7780153_r3_p99,GSM7780153,160,3,6.0,15.0,29,0.9707676
GSM7780153_r3_p184,GSM7780153,160,3,9.0,13.0,29,0.97020465
GSM7780153_r3_p106,GSM7780153,160,3,6.0,22.0,29,0.9701693
GSM7780153_r3_p100,GSM7780153,160,3,6.0,16.0,29,0.96966934
GSM7780153_r3_p182,GSM7780153,160,3,9.0,11.0,29,0.96954167
GSM7780153_r3_p210,GSM7780153,160,3,10.0,10.0,29,0.9685102
GSM7780154_r3_p150,GSM7780154,160,3,8.0,8.0,29,0.9685037
GSM7780153_r3_p122,GSM7780153,160,3,7.0,9.0,29,0.9684934
GSM7780154_r3_p88,GSM7780154,160,3,6.0,4.0,29,0.96823907
GSM7780154_r3_p93,GSM7780154,160,3,6.0,9.0,29,0.96811914
GSM7780153_r3_p95,GSM7780153,160,3,6.0,11.0,29,0.9679593
GSM7780153_r3_p156,GSM7780153,160,3,8.0,14.0,29,0.96794087
GSM7780154_r3_p117,GSM7780154,160,3,7.0,4.0,29,0.9677419
GSM7780153_r3_p108,GSM7780153,160,3,6.0,24.0,29,0.9675579
GSM7780153_r3_p46,GSM7780153,160,3,4.0,20.0,29,0.9675405
GSM7780153_r3_p128,GSM7780153,160,3,7.0,15.0,29,0.9674636
GSM7780154_r3_p87,GSM7780154,160,3,6.0,3.0,29,0.9666585
GSM7780153_r3_p131,GSM7780153,160,3,7.0,18.0,29,0.9666574
GSM7780153_r3_p123,GSM7780153,160,3,7.0,10.0,29,0.966465
GSM7780153_r3_p135,GSM7780153,160,3,7.0,22.0,29,0.96634185
GSM7780153_r3_p94,GSM7780153,160,3,6.0,10.0,29,0.9660665
GSM7780153_r3_p107,GSM7780153,160,3,6.0,23.0,29,0.9659934
GSM7780153_r3_p103,GSM7780153,160,3,6.0,19.0,29,0.9653602
GSM7780153_r3_p235,GSM7780153,160,3,11.0,6.0,29,0.96520823
GSM7780153_r3_p78,GSM7780153,160,3,5.0,23.0,29,0.96489894
GSM7780153_r3_p97,GSM7780153,160,3,6.0,13.0,29,0.9647676
GSM7780154_r3_p147,GSM7780154,160,3,8.0,5.0,29,0.964744
GSM7780154_r3_p91,GSM7780154,160,3,6.0,7.0,29,0.96462476
GSM7780154_r3_p175,GSM7780154,160,3,9.0,4.0,29,0.9645783
GSM7780154_r3_p180,GSM7780154,160,3,9.0,9.0,29,0.9644658
GSM7780153_r3_p133,GSM7780153,160,3,7.0,20.0,29,0.964133
GSM7780153_r3_p71,GSM7780153,160,3,5.0,16.0,29,0.9641309
GSM7780154_r3_p65,GSM7780154,160,3,5.0,10.0,29,0.9638641
GSM7780153_r3_p183,GSM7780153,160,3,9.0,12.0,29,0.96358645
GSM7780153_r3_p75,GSM7780153,160,3,5.0,20.0,29,0.96341264
GSM7780153_r3_p293,GSM7780153,160,3,13.0,6.0,29,0.9633379
GSM7780154_r3_p178,GSM7780154,160,3,9.0,7.0,29,0.96308726
GSM7780153_r3_p180,GSM7780153,160,3,9.0,9.0,29,0.9630178
GSM7780154_r3_p116,GSM7780154,160,3,7.0,3.0,29,0.9630064
GSM7780154_r3_p179,GSM7780154,160,3,9.0,8.0,29,0.96281284
GSM7780154_r3_p182,GSM7780154,160,3,9.0,11.0,29,0.962777
GSM7780153_r3_p151,GSM7780153,160,3,8.0,9.0,29,0.9626961
GSM7780153_r3_p179,GSM7780153,160,3,9.0,8.0,29,0.9624451
GSM7780153_r3_p294,GSM7780153,160,3,13.0,7.0,29,0.96216047
GSM7780153_r3_p381,GSM7780153,160,3,16.0,7.0,29,0.962016
GSM7780153_r3_p200,GSM7780153,160,3,9.0,29.0,29,0.96196556
GSM7780153_r3_p150,GSM7780153,160,3,8.0,8.0,29,0.9619529
GSM7780153_r3_p323,GSM7780153,160,3,14.0,7.0,29,0.96143544
GSM7780153_r3_p207,GSM7780153,160,3,10.0,7.0,29,0.9613334
GSM7780153_r3_p132,GSM7780153,160,3,7.0,19.0,29,0.9611326
GSM7780154_r3_p120,GSM7780154,160,3,7.0,7.0,29,0.9610438
GSM7780153_r3_p39,GSM7780153,160,3,4.0,13.0,29,0.960953
GSM7780153_r3_p238,GSM7780153,160,3,11.0,9.0,29,0.960672
GSM7780154_r3_p211,GSM7780154,160,3,10.0,11.0,29,0.960526
GSM7780153_r3_p352,GSM7780153,160,3,15.0,7.0,29,0.9601698
GSM7780153_r3_p199,GSM7780153,160,3,9.0,28.0,29,0.96014893
GSM7780153_r3_p206,GSM7780153,160,3,10.0,6.0,29,0.9601386
GSM7780153_r3_p79,GSM7780153,160,3,5.0,24.0,29,0.96007514
GSM7780153_r3_p211,GSM7780153,160,3,10.0,11.0,29,0.95999455
GSM7780153_r3_p73,GSM7780153,160,3,5.0,18.0,29,0.95997334
GSM7780153_r3_p157,GSM7780153,160,3,8.0,15.0,29,0.95980394
GSM7780153_r3_p110,GSM7780153,160,3,6.0,26.0,29,0.9595984
GSM7780153_r3_p321,GSM7780153,160,3,14.0,5.0,29,0.9592788
GSM7780154_r3_p153,GSM7780154,160,3,8.0,11.0,29,0.9592346
GSM7780154_r3_p125,GSM7780154,160,3,7.0,12.0,29,0.9591874
GSM7780154_r3_p36,GSM7780154,160,3,4.0,10.0,29,0.9590387
GSM7780153_r3_p236,GSM7780153,160,3,11.0,7.0,29,0.95902956
GSM7780153_r3_p325,GSM7780153,160,3,14.0,9.0,29,0.95895004
GSM7780153_r3_p48,GSM7780153,160,3,4.0,22.0,29,0.95871896
GSM7780153_r3_p38,GSM7780153,160,3,4.0,12.0,29,0.95867
